City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
184,College,US,64.8569,-147.8028,-2.54,66,0,6.91,clear sky
185,Ouro Preto Do Oeste,BR,-10.7481,-62.2158,80.28,84,96,4.88,overcast clouds
186,Rosarito,MX,32.3333,-117.0333,51.91,22,0,7.18,clear sky
187,Guadalupe,MX,25.6833,-100.25,75.4,85,100,12.66,overcast clouds
188,Georgetown,MY,5.4112,100.3354,82.89,91,20,1.01,few clouds
189,Key West,US,24.5557,-81.7826,78.01,78,40,16.11,scattered clouds
190,Treinta Y Tres,UY,-33.2333,-54.3833,87.08,51,76,4.7,broken clouds
191,Sayyan,YE,15.1718,44.3244,58.82,24,30,6.53,scattered clouds
192,Wajima,JP,37.4,136.9,35.4,68,93,8.03,overcast clouds
193,Jalu,LY,29.0331,21.5482,59.29,39,44,20.83,scattered clouds
194,Baruun-Urt,MN,46.6806,113.2792,-11.56,88,4,4.7,clear sky
195,Berdigestyakh,RU,62.0989,126.6992,-19.8,99,100,4.9,overcast clouds
196,Cabo San Lucas,MX,22.8909,-109.9124,66.61,66,63,7.0,broken clouds
197,Dingle,PH,10.9995,122.6711,74.16,94,61,7.58,broken clouds
198,Shingu,JP,33.7333,135.9833,43.92,64,100,6.58,overcast clouds
199,Mount Gambier,AU,-37.8333,140.7667,57.11,67,100,9.22,overcast clouds
200,Halifax,CA,44.6453,-63.5724,46.0,98,100,8.01,light intensity drizzle
201,Quang Ngai,VN,15.1167,108.8,70.16,87,100,7.9,overcast clouds
202,Pinega,RU,64.7001,43.3936,-0.83,100,93,1.32,overcast clouds
203,Port Lincoln,AU,-34.7333,135.8667,61.74,72,15,15.66,few clouds
204,Samarai,PG,-10.6167,150.6667,80.15,81,96,12.15,overcast clouds
205,Carlsbad,US,33.1581,-117.3506,57.16,37,0,4.61,clear sky
206,Katghora,IN,22.5,82.55,65.12,45,20,2.53,few clouds
207,Bengkulu,ID,-3.8004,102.2655,76.51,91,100,6.49,overcast clouds
208,Deputatskiy,RU,69.3,139.9,-23.49,91,61,1.07,broken clouds
209,Caraquet,CA,47.7941,-64.9386,40.33,95,100,9.91,light rain
210,Yulara,AU,-25.2406,130.9889,67.84,49,62,10.36,broken clouds
211,Maniitsoq,GL,65.4167,-52.9,23.56,92,100,18.61,light snow
212,Morong,PH,14.5115,121.2393,79.14,84,55,6.24,broken clouds
213,Belyy Yar,RU,53.6039,91.3903,-11.15,88,51,2.24,mist
214,Zhuhai,CN,22.2769,113.5678,57.97,82,40,14.97,scattered clouds
215,Satun,TH,6.8333,100.0,80.6,85,21,6.35,few clouds
216,Sibolga,ID,1.7427,98.7792,75.78,91,100,3.94,overcast clouds
217,Coleraine,GB,55.1333,-6.6667,50.72,77,100,22.35,overcast clouds
218,Aykhal,RU,66.0,111.5,-21.3,100,49,2.66,scattered clouds
219,Togur,RU,58.3631,82.8265,15.98,94,100,7.83,overcast clouds
220,Laguna,US,38.421,-121.4238,47.08,80,0,0.0,clear sky
221,Mogocha,RU,53.7333,119.7667,-12.08,93,98,3.87,overcast clouds
222,Mount Pleasant,US,32.7941,-79.8626,74.05,69,75,1.99,broken clouds
223,Mahebourg,MU,-20.4081,57.7,80.89,89,75,25.32,broken clouds
224,Sakakah,SA,29.9697,40.2064,71.17,30,53,8.68,broken clouds
225,Torbay,CA,47.6666,-52.7314,36.57,74,75,18.41,broken clouds
226,Epe,NG,6.5841,3.9834,87.39,50,94,10.18,overcast clouds
227,Salalah,OM,17.0151,54.0924,77.09,69,20,4.61,few clouds
228,Krasnoselkup,RU,65.7,82.4667,6.58,96,100,11.63,light snow
229,Sumbe,AO,-11.2061,13.8437,80.6,69,40,4.61,scattered clouds
230,Hay River,CA,60.8156,-115.7999,-29.22,75,20,3.44,few clouds
231,Batagay,RU,67.6333,134.6333,-35.77,100,81,1.39,broken clouds
232,Vanino,RU,49.0869,140.2543,6.71,69,100,9.46,overcast clouds
233,Tibiri,NE,13.5627,7.0485,82.74,10,7,13.8,clear sky
234,Shahr-E Kord,IR,32.3256,50.8644,22.77,63,0,6.91,clear sky
235,Cherskiy,RU,68.75,161.3,-26.01,97,6,3.02,clear sky
236,Beloha,MG,-25.1667,45.05,75.67,75,1,19.22,clear sky
237,Sept-Iles,CA,50.2001,-66.3821,25.23,71,75,11.99,broken clouds
238,Tuktoyaktuk,CA,69.4541,-133.0374,-18.4,76,75,10.36,light snow
239,Druskininkai,LT,54.0167,23.9667,24.53,95,76,4.07,broken clouds
240,Saint-Michel-Des-Saints,CA,46.6834,-73.9159,9.23,80,100,8.95,overcast clouds
241,Caravelas,BR,-17.7125,-39.2481,86.4,56,39,10.02,scattered clouds
242,Tuatapere,NZ,-46.1333,167.6833,53.82,79,100,1.41,overcast clouds
243,Gonbad-E Qabus,IR,37.25,55.1672,59.95,39,55,7.67,broken clouds
244,The Valley,AI,18.217,-63.0578,82.54,69,40,11.5,scattered clouds
245,Kahului,US,20.8947,-156.47,70.84,83,0,0.0,clear sky
246,Joshimath,IN,30.5667,79.5667,38.95,97,100,2.42,overcast clouds
247,Mazatlan,MX,23.2167,-106.4167,64.9,74,100,0.0,overcast clouds
248,Pemangkat,ID,1.1667,108.9667,77.22,88,100,9.17,overcast clouds
249,Thompson,CA,55.7435,-97.8558,-25.44,75,75,5.75,broken clouds
250,Willmar,US,45.1219,-95.0433,-7.91,70,0,3.44,clear sky
251,Hellvik,NO,59.9156,5.781,43.36,93,100,10.07,overcast clouds
252,La Primavera,CO,5.4906,-70.4092,92.84,38,65,12.19,broken clouds
253,Mongar,BT,27.2747,91.2396,38.75,90,59,4.0,broken clouds
254,Vardo,NO,70.3705,31.1107,26.58,80,75,5.75,broken clouds
255,Palma Soriano,CU,20.2172,-75.9989,81.46,57,72,10.49,broken clouds
256,Codrington,AU,-38.2667,141.9667,58.86,65,35,12.17,scattered clouds
257,Klyuchi,RU,52.2667,79.1667,6.96,97,100,6.58,overcast clouds
258,Great Falls,US,47.5002,-111.3008,17.6,66,0,4.0,clear sky
259,Saint Anthony,US,45.0205,-93.218,-2.88,69,0,1.01,clear sky
260,Ryotsu,JP,38.0833,138.4333,34.3,64,93,17.74,overcast clouds
261,Margate,GB,51.3813,1.3862,50.97,78,90,12.26,overcast clouds
262,Anloga,GH,5.7947,0.8973,88.02,69,12,12.39,few clouds
263,Sovetskiy,RU,61.3614,63.5842,19.45,97,100,4.34,light snow
264,Onega,RU,63.9061,38.1404,2.23,100,91,1.74,overcast clouds
265,Noumea,NC,-22.2763,166.4572,76.98,80,100,1.74,overcast clouds
266,Saint-Augustin,CA,51.226,-58.6502,33.12,98,100,23.04,snow
267,Bogorodskoye,RU,56.55,37.8833,23.09,97,100,3.85,snow
268,Kodinsk,RU,58.6881,99.1844,3.56,99,99,3.56,overcast clouds
269,Tagbac,PH,7.089,125.1567,70.12,83,98,3.31,overcast clouds
270,Kananga,CD,-5.8958,22.4178,66.2,98,100,6.02,light rain
271,Olinda,BR,-8.0089,-34.8553,85.73,66,40,10.36,scattered clouds
272,Castro,BR,-24.7911,-50.0119,73.99,74,96,1.5,overcast clouds
273,Tezu,IN,27.9167,96.1667,55.92,66,87,4.88,overcast clouds
274,Miquelon,PM,47.0975,-56.3814,35.6,86,100,27.94,overcast clouds
275,Tautira,PF,-17.7333,-149.15,78.82,66,21,15.37,few clouds
276,Havelock,US,34.8791,-76.9013,71.56,76,94,8.99,overcast clouds
277,Burnie,AU,-41.0667,145.9167,54.91,86,2,9.22,clear sky
278,Vila Velha,BR,-20.3297,-40.2925,78.75,86,75,1.99,broken clouds
279,Hualmay,PE,-11.0964,-77.6139,75.43,70,90,10.58,overcast clouds
280,Matara,LK,5.9485,80.5353,75.56,85,2,3.67,clear sky
281,Dalnerechensk,RU,45.9339,133.7225,-2.54,98,99,5.68,overcast clouds
282,Zyryanka,RU,65.75,150.85,-26.95,98,12,6.42,few clouds
283,Yar-Sale,RU,66.8333,70.8333,-12.8,100,48,6.6,scattered clouds
284,Bafoulabe,ML,13.8065,-10.8321,94.86,6,3,6.73,clear sky
285,Tevaitoa,PF,-16.7833,-151.5,79.18,79,27,16.31,light rain
286,Isangel,VU,-19.55,169.2667,78.91,94,100,0.0,moderate rain
287,Ferme-Neuve,CA,46.7001,-75.4493,10.18,77,100,8.72,overcast clouds
288,Naze,JP,28.3667,129.4833,55.27,82,100,13.22,overcast clouds
289,Soure,BR,-0.7167,-48.5233,82.71,73,92,11.48,overcast clouds
290,Daru,PG,-9.0763,143.2092,77.76,86,100,10.04,overcast clouds
291,Antofagasta,CL,-23.65,-70.4,72.21,59,14,10.22,few clouds
292,Nahrin,AF,36.0649,69.1334,32.97,76,13,6.87,few clouds
293,Edgewater,US,28.9889,-80.9023,77.09,68,20,9.22,few clouds
294,Kalengwa,ZM,-13.4659,25.0027,69.93,87,100,2.17,overcast clouds
295,Airai,TL,-8.9266,125.4092,60.31,93,99,2.64,moderate rain
296,Ponta Pora,BR,-22.5361,-55.7256,71.51,88,100,10.36,overcast clouds
297,Ulcinj,ME,41.9294,19.2244,49.91,44,0,4.5,clear sky
298,Ambilobe,MG,-13.2,49.05,76.95,88,100,7.09,light rain
299,Store Heddinge,DK,55.3097,12.3889,44.02,98,100,17.13,overcast clouds
300,Omsukchan,RU,62.5333,155.8,-5.82,77,88,10.18,overcast clouds
301,Okha,RU,53.5739,142.9478,4.14,92,100,23.04,overcast clouds
302,San Carlos De Bariloche,AR,-41.1456,-71.3082,77.45,40,75,3.44,broken clouds
303,Nenjiang,CN,49.1833,125.2167,-16.92,97,18,2.86,few clouds
304,Luanda,AO,-8.8368,13.2343,78.8,78,20,10.36,few clouds
305,Neiafu,TO,-18.65,-173.9833,79.48,83,75,9.22,broken clouds
306,Bathsheba,BB,13.2167,-59.5167,84.81,61,40,19.57,scattered clouds
307,Papara,BR,-3.9839,-38.7273,86.4,56,96,8.63,overcast clouds
308,Haines Junction,CA,60.7522,-137.5108,-7.65,77,100,0.0,overcast clouds
309,Dobryatino,RU,55.5055,41.3195,8.35,99,41,3.2,scattered clouds
310,Richards Bay,ZA,-28.783,32.0377,86.36,72,1,4.9,clear sky
311,Bereda,ES,43.2686,-7.5406,57.15,64,97,5.32,overcast clouds
312,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,82,99,8.37,light rain
313,Vila,PT,42.0304,-8.1588,51.75,73,100,5.06,overcast clouds
314,Mercedes,AR,-34.6515,-59.4307,80.19,81,100,1.41,overcast clouds
315,Boyabat,TR,41.4689,34.7667,38.59,93,100,1.77,overcast clouds
316,Ponta Delgada,PT,37.7333,-25.6667,66.51,72,20,16.11,few clouds
317,Port Hedland,AU,-20.3167,118.5667,77.05,83,100,10.36,overcast clouds
318,Elizabeth City,US,36.2946,-76.2511,63.01,81,100,1.01,overcast clouds
319,Cidreira,BR,-30.1811,-50.2056,82.22,69,21,14.18,few clouds
320,Fasa,IR,28.9383,53.6482,54.64,44,0,4.61,clear sky
321,Labuhan,ID,-6.8844,112.2051,78.66,84,98,5.41,moderate rain
322,Para De Minas,BR,-19.8603,-44.6083,85.84,69,71,5.01,broken clouds
323,Marsh Harbour,BS,26.5412,-77.0636,74.01,64,93,20.76,overcast clouds
324,Provideniya,RU,64.3833,-173.3,3.81,60,47,22.3,scattered clouds
325,Tiarei,PF,-17.5333,-149.3333,78.82,67,8,16.91,clear sky
326,Bilma,NE,18.6853,12.9164,69.46,12,0,16.96,clear sky
327,Kavieng,PG,-2.5744,150.7967,81.19,78,100,7.78,overcast clouds
328,Oktyabrskoye,RU,43.0645,44.7417,32.14,93,80,0.0,broken clouds
329,Dauphin,CA,51.1494,-100.0502,-23.66,62,0,5.75,clear sky
330,Kununurra,AU,-15.7667,128.7333,78.78,94,40,0.0,scattered clouds
331,Stornoway,GB,58.2093,-6.3865,39.16,88,75,10.0,broken clouds
332,Mutoko,ZW,-17.397,32.2268,73.29,69,87,4.54,overcast clouds
333,Veraval,IN,20.9,70.3667,70.12,58,28,13.87,scattered clouds
334,Bilibino,RU,68.0546,166.4372,-7.55,62,1,4.43,clear sky
335,Chokurdakh,RU,70.6333,147.9167,-29.06,100,93,3.58,overcast clouds
336,Katsuura,JP,35.1333,140.3,46.42,57,100,16.69,overcast clouds
337,Lira,UG,2.235,32.9097,83.48,31,100,7.9,overcast clouds
338,Molnlycke,SE,57.6589,12.1179,39.6,98,100,11.5,light rain
339,Fort Smith,US,35.3859,-94.3986,23.88,87,100,3.0,mist
340,Tessalit,ML,20.1986,1.0114,79.74,6,23,13.96,few clouds
341,Tres Lagoas,BR,-20.7511,-51.6783,79.52,77,100,8.79,overcast clouds
342,Riyadh,SA,24.6877,46.7219,73.54,29,0,10.16,clear sky
343,Auki,SB,-8.7676,160.7034,77.36,90,88,5.66,overcast clouds
344,Mount Darwin,ZW,-16.7725,31.5838,75.06,79,84,3.11,light rain
345,Ngunguru,NZ,-35.6167,174.5,70.16,91,90,13.31,overcast clouds
