City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
305,Neiafu,TO,79.48,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
306,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
307,Papara,BR,86.4,overcast clouds,-3.9839,-38.7273,Bela vista Maranguape
310,Richards Bay,ZA,86.36,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
312,Sao Joao Da Barra,BR,78.89,light rain,-21.6403,-41.0511,Pousada Porto De Canoas
314,Mercedes,AR,80.19,overcast clouds,-34.6515,-59.4307,Posada del Inti Centro
317,Port Hedland,AU,77.05,overcast clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
319,Cidreira,BR,82.22,few clouds,-30.1811,-50.2056,Hotel Castelo
321,Labuhan,ID,78.66,moderate rain,-6.8844,112.2051,DoubleFAG
322,Para De Minas,BR,85.84,broken clouds,-19.8603,-44.6083,Suntory Business Hotel
325,Tiarei,PF,78.82,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
327,Kavieng,PG,81.19,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
330,Kununurra,AU,78.78,scattered clouds,-15.7667,128.7333,Hotel Kununurra
337,Lira,UG,83.48,overcast clouds,2.235,32.9097,ST Lira Hotel Limited
340,Tessalit,ML,79.74,few clouds,20.1986,1.0114,
341,Tres Lagoas,BR,79.52,overcast clouds,-20.7511,-51.6783,Druds Express Hotel
343,Auki,SB,77.36,overcast clouds,-8.7676,160.7034,Auki Motel
344,Mount Darwin,ZW,75.06,light rain,-16.7725,31.5838,
352,Harper,LR,84.81,clear sky,4.375,-7.7169,Screensaver
353,Pangai,TO,80.73,light rain,-19.8,-174.35,Ha'apai Beach Resort
354,Cumana,VE,89.69,clear sky,10.4635,-64.1775,Posada Acuarela Los Roques
356,Toamasina,MG,80.6,scattered clouds,-18.1667,49.3833,Hotel H1
358,Surubim,BR,87.42,broken clouds,-7.8331,-35.7547,Cristal Hotel
362,Brotas,BR,76.66,overcast clouds,-22.2842,-48.1267,Site Water Wheel
364,Sorong,ID,80.76,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
365,Mabaruma,GY,82.4,scattered clouds,8.2,-59.7833,Monty Brooms Guest House
368,Rawson,AR,78.39,scattered clouds,-43.3002,-65.1023,Hosteria Sampedro
370,Padilla,CO,78.37,overcast clouds,3.2204,-76.3139,La Granadina
383,Jinka,ET,75.96,overcast clouds,5.65,36.65,
385,Bonfim,BR,80.55,broken clouds,3.0833,-59.95,
387,Port-Gentil,GA,85.96,few clouds,-0.7193,8.7815,Fengshui Residence
389,Mbini,GQ,85.84,light rain,1.574,9.6134,
390,Kollam,IN,82.27,scattered clouds,8.8833,76.6,The Raviz Ashtamudi
392,Bulawayo,ZW,79.36,broken clouds,-20.15,28.5833,4 On Housman Backpackers
400,Riacho De Santana,BR,87.93,broken clouds,-13.6092,-42.9389,Casa Nogueira
401,Banjar,ID,82.26,overcast clouds,-8.19,114.9675,The Hamsa Resort
404,Puerto Escondido,MX,77.83,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
